journal_id,journal_name,field
56,Accounting Perspectives,"Business, Management and Accounting"
48,Accion Psicologica,Psychology
45,Access to Justice in Eastern Europe,Social Sciences
71,ACM SIGecom Exchanges,Decision Sciences
67,ACM Journal of Data and Information Quality,Decision Sciences
52,Accounting Economics and Law-A Convivium,"Business, Management and Accounting"
55,Accounting in Europe,"Business, Management and Accounting"
77,ACM Transactions on Computation Theory,Computer Science
54,Accounting History Review,"Business, Management and Accounting"
116,ACS Applied Materials & Interfaces,Engineering
120,ACS Catalysis,Materials Science
117,ACS Applied Nano Materials,Energy
115,ACS Applied Energy Materials,Engineering
118,ACS Applied Polymer Materials,Engineering
87,ACM TRANSACTIONS ON GRAPHICS,Computer Science
113,ACS Applied Bio Materials,Engineering
125,ACS Energy Letters,Engineering
119,ACS Biomaterials Science & Engineering,Engineering
114,ACS Applied Electronic Materials,Engineering
107,ACOUSTICAL PHYSICS,Earth and Planetary Sciences
121,ACS Central Science,Chemistry
128,ACS ES&T Water,Environmental Science
96,ACM Transactions on Multimedia Computing Communications and Applications,Computer Science
108,Acoustical Science and Technology,Computer Science
103,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,Computer Science
88,ACM TRANSACTIONS ON INFORMATION SYSTEMS,Computer Science
89,ACM Transactions on Intelligent Systems and Technology,Computer Science
127,ACS ES&T Engineering,Environmental Science
99,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,Computer Science
94,ACM Transactions on Modeling and Computer Simulation,Decision Sciences
111,Acque Sotterranee-Italian Journal of Groundwater,Environmental Science
112,Across Languages and Cultures,Arts and Humanities
109,Acoustics,Engineering
82,ACM Transactions on Computing for Healthcare,Computer Science
85,ACM Transactions on Economics and Computation,Decision Sciences
126,ACS Environmental Au,Earth and Planetary Sciences
104,ACM Transactions on Spatial Algorithms and Systems,Computer Science
97,ACM Transactions on Parallel Computing,Computer Science
95,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,Computer Science
100,ACM Transactions on Quantum Computing,Computer Science
135,ACS Nano,Materials Science
142,ACS Sustainable Chemistry & Engineering,Engineering
166,Acta Biomaterialia,Engineering
139,ACS Photonics,Engineering
157,ACTA ARITHMETICA,Mathematics
141,ACS Sensors,"Biochemistry, Genetics and Molecular Biology"
130,ACS Macro Letters,Chemistry
162,ACTA BIOCHIMICA POLONICA,"Biochemistry, Genetics and Molecular Biology"
150,ACTA AMAZONICA,Environmental Science
155,ACTA APPLICANDAE MATHEMATICAE,Physics and Astronomy
169,Acta Botanica Brasilica,Agricultural and Biological Sciences
132,ACS Materials Letters,Engineering
149,ACTA ALIMENTARIA,Medicine
167,ACTA BIOTHEORETICA,"Biochemistry, Genetics and Molecular Biology"
156,ACTA ARCHAEOLOGICA,Earth and Planetary Sciences
138,ACS Pharmacology & Translational Science,"Biochemistry, Genetics and Molecular Biology"
164,ACTA BIOLOGICA COLOMBIANA,Agricultural and Biological Sciences
163,Acta Bioethica,Medicine
147,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,Agricultural and Biological Sciences
153,Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,Psychology
165,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,"Biochemistry, Genetics and Molecular Biology"
160,Acta Balneologica,Health Professions
168,Acta Borealia,Health Professions
133,ACS Measurement Science Au,Chemistry
145,ACTA ACUSTICA,Engineering
131,ACS Materials Au,Energy
154,Acta Angiologica,Medicine
146,ACTA ADRIATICA,Environmental Science
151,ACTA ANAESTHESIOLOGICA BELGICA,Medicine
140,ACS Polymers Au,Chemistry
136,ACS Nanoscience Au,Arts and Humanities
186,ACTA CLINICA BELGICA,Medicine
193,Acta Crystallographica Section E-Crystallographic Communications,Chemistry
184,Acta Cirurgica Brasileira,Medicine
182,ACTA CHIRURGICA BELGICA,Medicine
191,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,Chemistry
202,Acta Endocrinologica-Bucharest,Medicine
171,Acta Botanica Mexicana,Agricultural and Biological Sciences
194,Acta Crystallographica Section F-Structural Biology Communications,Materials Science
181,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,Medicine
190,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,Chemistry
179,ACTA CHIMICA SLOVENICA,Medicine
201,Acta Ecologica Sinica,Environmental Science
187,Acta Clinica Croatica,Medicine
180,ACTA CHIROPTEROLOGICA,Agricultural and Biological Sciences
195,Acta Cybernetica,Computer Science
170,ACTA BOTANICA CROATICA,Agricultural and Biological Sciences
175,ACTA CARSOLOGICA,Earth and Planetary Sciences
206,ACTA ETHOLOGICA,Agricultural and Biological Sciences
198,Acta Dermatovenerologica Alpina Pannonica et Adriatica,Medicine
203,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,Agricultural and Biological Sciences
205,Acta et Commentationes Universitatis Tartuensis de Mathematica,Mathematics
178,Acta Chimica Slovaca,Chemistry
185,Acta Classica,Social Sciences
188,Acta Colombiana de Psicologia,Psychology
204,Acta Epileptologica,Medicine
176,Acta Chemica Iasi,Chemistry
207,Acta Facultatis Medicae Naissensis,Medicine
172,Acta Brasiliensis,Agricultural and Biological Sciences
199,Acta Dermatovenerologica Croatica,Medicine
234,ACTA MATERIALIA,Materials Science
236,ACTA MATHEMATICA HUNGARICA,Mathematics
224,ACTA HISTOCHEMICA ET CYTOCHEMICA,"Biochemistry, Genetics and Molecular Biology"
238,ACTA MATHEMATICA SINICA-ENGLISH SERIES,Mathematics
237,ACTA MATHEMATICA SCIENTIA,Computer Science
217,Acta Geotechnica,Engineering
235,ACTA MATHEMATICA,Mathematics
228,ACTA INFORMATICA,Computer Science
227,ACTA ICHTHYOLOGICA ET PISCATORIA,Agricultural and Biological Sciences
214,ACTA GEOLOGICA POLONICA,Earth and Planetary Sciences
210,Acta Geochimica,Earth and Planetary Sciences
240,Acta Mathematica Vietnamica,Mathematics
233,Acta Logistica,Engineering
212,Acta Geodynamica et Geomaterialia,Earth and Planetary Sciences
211,Acta Geodaetica et Geophysica,Earth and Planetary Sciences
230,Acta Kinesiologica,Medicine
209,ACTA GASTRO-ENTEROLOGICA BELGICA,Medicine
213,Acta Geographica Slovenica-Geografski Zbornik,Environmental Science
220,Acta Gymnica,Medicine
229,Acta Informatica Pragensia,Computer Science
231,Acta Koreana,Social Sciences
225,Acta Historica Tallinnensia,Social Sciences
232,Acta Linguistica Academica,Arts and Humanities
222,Acta Herpetologica,Environmental Science
218,Acta Geotechnica Slovenica,Engineering
219,Acta Germanica-German studies in Africa,Arts and Humanities
226,Acta Histriae,"Economics, Econometrics and Finance"
282,ACTA OTO-LARYNGOLOGICA,Neuroscience
275,ACTA OPTICA SINICA,Engineering
262,ACTA NEUROPATHOLOGICA,Medicine
258,ACTA NEUROBIOLOGIAE EXPERIMENTALIS,Neuroscience
269,ACTA ODONTOLOGICA SCANDINAVICA,Dentistry
268,ACTA OCEANOLOGICA SINICA,Earth and Planetary Sciences
241,Acta Mathematicae Applicatae Sinica-English Series,Mathematics
248,Acta Medica Portuguesa,Health Professions
270,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,Environmental Science
263,Acta Neuropathologica Communications,Medicine
285,Acta Otorrinolaringologica Espanola,Neuroscience
280,Acta Orthopaedica et Traumatologica Turcica,Medicine
281,Acta Ortopedica Brasileira,Medicine
255,ACTA MUSICOLOGICA,Arts and Humanities
243,Acta Mechanica et Automatica,Engineering
253,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,"Biochemistry, Genetics and Molecular Biology"
277,ACTA ORNITHOLOGICA,Environmental Science
271,ACTA OECONOMICA,"Economics, Econometrics and Finance"
276,Acta Orientalia Academiae Scientiarum Hungaricae,Arts and Humanities
279,Acta Orthopaedica Belgica,Medicine
272,Acta of Bioengineering and Biomechanics,Medicine
252,Acta Metallurgica Slovaca,Materials Science
257,Acta Neophilologica,Arts and Humanities
265,Acta Neuropsychologica,Medicine
249,Acta Medico-Historica Adriatica,"Economics, Econometrics and Finance"
283,Acta Oto-Laryngologica Case Reports,Medicine
266,ACTA NUMERICA,Engineering
247,ACTA MEDICA OKAYAMA,Social Sciences
246,Acta Medica Indonesiana,Physics and Astronomy
300,ACTA PHYSICA SINICA,Engineering
315,ACTA RADIOLOGICA,Medicine
313,ACTA PSYCHIATRICA SCANDINAVICA,Medicine
298,ACTA PHYSICA POLONICA A,Physics and Astronomy
301,ACTA PHYSICO-CHIMICA SINICA,Materials Science
297,Acta Photonica Sinica,Engineering
307,ACTA POLONIAE HISTORICA,Social Sciences
294,ACTA PHARMACOLOGICA SINICA,Medicine
303,Acta Physiologica,Medicine
299,ACTA PHYSICA POLONICA B,Physics and Astronomy
289,Acta Paulista de Enfermagem,Health Professions
314,Acta Psychologica Sinica,Neuroscience
293,Acta Pharmaceutica Sinica B,Engineering
318,Acta Scientiae Veterinariae,Medicine
288,ACTA PARASITOLOGICA,Environmental Science
311,Acta Polytechnica Hungarica,Engineering
310,Acta Polytechnica,Physics and Astronomy
290,Acta Pediatrica de Mexico,Health Professions
312,ACTA PROTOZOOLOGICA,"Biochemistry, Genetics and Molecular Biology"
305,Acta Poetica,Arts and Humanities
306,Acta Politica,Social Sciences
320,Acta Scientiarum Polonorum-Formatio Circumiectus,Environmental Science
321,Acta Scientiarum Polonorum-Hortorum Cultus,Agricultural and Biological Sciences
308,ACTA POLONIAE PHARMACEUTICA,Chemistry
319,ACTA SCIENTIARUM MATHEMATICARUM,Mathematics
316,Acta Radiologica Open,Engineering
296,Acta Phlebologica,Medicine
295,Acta Philosophica,Arts and Humanities
317,Acta Reumatologica Portuguesa,Medicine
327,ACTA SOCIETATIS BOTANICORUM POLONIAE,Agricultural and Biological Sciences
328,ACTA SOCIOLOGICA,Social Sciences
346,ACTA ZOOLOGICA,Environmental Science
340,ACTA VETERINARIA BRNO,Agricultural and Biological Sciences
333,Acta Theologica,Arts and Humanities
323,ACTA SCIENTIARUM-AGRONOMY,Agricultural and Biological Sciences
342,ACTA VETERINARIA HUNGARICA,Agricultural and Biological Sciences
344,ACTA VETERINARIA-BEOGRAD,Agricultural and Biological Sciences
325,ACTA SCIENTIARUM-TECHNOLOGY,Agricultural and Biological Sciences
329,Acta Stomatologica Croatica,Dentistry
345,ACTA VIROLOGICA,Agricultural and Biological Sciences
322,Acta Scientiarum Polonorum-Technologia Alimentaria,Medicine
324,ACTA SCIENTIARUM-HEALTH SCIENCES,Health Professions
332,Acta Technologica Agriculturae,Engineering
349,ACTAS ESPANOLAS DE PSIQUIATRIA,Psychology
330,Acta Structilia,Decision Sciences
348,ACTA ZOOLOGICA BULGARICA,Agricultural and Biological Sciences
336,Acta Universitatis Carolinae Theologica,Social Sciences
339,Acta Universitatis Sapientiae-Mathematica,Mathematics
335,Acta Turistica,Social Sciences
347,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,Agricultural and Biological Sciences
338,Acta Universitatis Sapientiae-Film and Media Studies,"Economics, Econometrics and Finance"
341,Acta Veterinaria Eurasia,Agricultural and Biological Sciences
326,Acta Silvae et Ligni,Agricultural and Biological Sciences
337,Acta Universitatis Sapientiae Informatica,Mathematics
356,Actualidad Contable Faces,Physics and Astronomy
377,ADDICTION,Medicine
350,Actas Urologicas Espanolas,Medicine
360,Actualites Pharmaceutiques,Health Professions
381,Additive Manufacturing,Engineering
367,Ad Hoc Networks,Computer Science
351,ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,Social Sciences
357,Actualidad Juridica Ambiental,Social Sciences
362,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,Medicine
353,Active and Passive Electronic Components,Engineering
364,Acute Medicine & Surgery,Medicine
373,ADAPTIVE BEHAVIOR,Neuroscience
352,Action Learning,"Business, Management and Accounting"
355,Activites-Revue Electronique,Social Sciences
369,Adalya,Arts and Humanities
375,AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,Computer Science
371,Adaptation-The Journal of Literature on Screen Studies,Arts and Humanities
385,Administracao Publica e Gestao Social,Decision Sciences
370,ADANSONIA,Agricultural and Biological Sciences
376,Addicta-The Turkish Journal on Addictions,Social Sciences
365,AD ALTA-Journal of Interdisciplinary Research,Environmental Science
358,Actualidades en Psicologia,Health Professions
386,Administracao-Ensino e Pesquisa,Decision Sciences
387,Administration,Social Sciences
359,Actualidades Pedagogicas,Computer Science
374,Adaptive Human Behavior and Physiology,Psychology
382,Adelaide Law Review,Social Sciences
368,AD-minister,"Economics, Econometrics and Finance"
354,Activitas Nervosa Superior Rediviva,Psychology
418,ADVANCED MATERIALS,Materials Science
414,ADVANCED FUNCTIONAL MATERIALS,Engineering
410,Advanced Energy Materials,Engineering
424,Advanced Optical Materials,Engineering
415,Advanced Healthcare Materials,Engineering
421,Advanced Materials Technologies,Engineering
404,ADVANCED DRUG DELIVERY REVIEWS,"Biochemistry, Genetics and Molecular Biology"
407,Advanced Electronic Materials,Engineering
411,ADVANCED ENGINEERING INFORMATICS,Engineering
388,ADMINISTRATIVE SCIENCE QUARTERLY,"Business, Management and Accounting"
391,Adoption and Fostering,Social Sciences
395,ADULT EDUCATION QUARTERLY,Computer Science
417,Advanced Intelligent Systems,Engineering
399,Advanced Biomedical Research,Medicine
402,Advanced Composites and Hybrid Materials,Engineering
396,Adult Learning,Social Sciences
409,Advanced Energy and Sustainability Research,Engineering
419,ADVANCED MATERIALS & PROCESSES,Engineering
408,Advanced Emergency Nursing Journal,Medicine
413,Advanced Fiber Materials,Engineering
392,Adoption Quarterly,Social Sciences
389,Adolescent Psychiatry,Psychology
406,Advanced Electromagnetics,Engineering
425,Advanced Photonics,Engineering
405,Advanced Education,Arts and Humanities
398,Advanced Biomedical Engineering,Engineering
426,Advanced Photonics Nexus,Engineering
416,Advanced Industrial and Engineering Polymer Research,Materials Science
390,Adolescent Research Review,Psychology
427,Advanced Powder Materials,Energy
422,Advanced Membranes,Environmental Science
431,Advanced Science,Engineering
436,ADVANCED SYNTHESIS & CATALYSIS,Chemistry
451,ADVANCES IN APPLIED PROBABILITY,Mathematics
460,Advances in Civil Engineering,Engineering
465,ADVANCES IN COLLOID AND INTERFACE SCIENCE,Chemistry
454,ADVANCES IN ATMOSPHERIC SCIENCES,Environmental Science
430,ADVANCED ROBOTICS,Engineering
449,ADVANCES IN APPLIED MATHEMATICS,Mathematics
445,ADVANCES IN ANATOMIC PATHOLOGY,Medicine
435,Advanced Sustainable Systems,Energy
447,Advances in Applied Clifford Algebras,Mathematics
429,Advanced Quantum Technologies,Computer Science
457,ADVANCES IN CEMENT RESEARCH,Engineering
446,Advances in Applied Ceramics,Materials Science
450,Advances in Applied Mathematics and Mechanics,Engineering
462,Advances in Climate Change Research,Environmental Science
440,Advancements of Microbiology,Agricultural and Biological Sciences
442,Advances and Applications in Statistics,Mathematics
443,Advances in Accounting,"Business, Management and Accounting"
439,Advancements in Life Sciences,Computer Science
456,Advances in Calculus of Variations,Mathematics
461,Advances in Civil Engineering Materials,Engineering
441,Advances and Applications in Discrete Mathematics,Computer Science
464,Advances in Cognitive Psychology,Neuroscience
452,Advances in Astronomy,Physics and Astronomy
455,Advances in Autism,Neuroscience
448,Advances in Applied Energy,Engineering
434,Advanced Studies-Euro-Tbilisi Mathematical Journal,Mathematics
444,Advances in Aircraft and Spacecraft Science,Engineering
432,Advanced Sensor and Energy Materials,"Biochemistry, Genetics and Molecular Biology"
453,Advances in Astronomy and Space Physics,Physics and Astronomy
459,Advances in Civil and Architectural Engineering,Engineering
499,ADVANCES IN MATHEMATICS,Mathematics
481,ADVANCES IN ENGINEERING SOFTWARE,Engineering
466,ADVANCES IN COMPLEX SYSTEMS,Physics and Astronomy
8287,International Journal of Modeling Simulation and Scientific Computing,Physics and Astronomy
498,Advances in Mathematical Physics,Physics and Astronomy
490,Advances in High Energy Physics,Physics and Astronomy
494,Advances in Integrative Medicine,Medicine
478,Advances in Electrical and Computer Engineering,Engineering
486,ADVANCES IN GEOMETRY,Mathematics
474,Advances in Differential Equations,Computer Science
479,Advances in Electrical and Electronic Engineering,Engineering
470,Advances in Condensed Matter Physics,Physics and Astronomy
487,Advances in Gerontology,Medicine
471,Advances in Data Analysis and Classification,Computer Science
492,Advances in Human Biology,Dentistry
484,Advances in Geo-Energy Research,Engineering
476,Advances in Digestive Medicine,Medicine
497,Advances in Materials Science,Engineering
495,Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,Medicine
477,Advances in Dual Diagnosis,Medicine
483,Advances in Fuzzy Systems,Decision Sciences
475,Advances in Differential Equations and Control Processes,Mathematics
491,Advances in Hospitality and Tourism Research-AHTR,Social Sciences
480,Advances in Energy Research,Engineering
493,Advances in Industrial and Manufacturing Engineering,Engineering
472,Advances in Data Science and Adaptive Analysis,Engineering
482,Advances in Environmental Research-An International Journal,Environmental Science
467,"Advances in Computational Design, An International Journal",Engineering
485,Advances in Geodesy and Geoinformation,Earth and Planetary Sciences
542,AERONAUTICAL JOURNAL,"Economics, Econometrics and Finance"
540,Aequationes Mathematicae,Mathematics
513,Advances in Nutrition,Medicine
528,Advances in Science and Technology-Research Journal,Materials Science
547,Aerospace Medicine and Human Performance,Medicine
500,Advances in Mathematics of Communications,Computer Science
532,Advances in Theoretical and Mathematical Physics,Physics and Astronomy
507,Advances in Multimedia,Computer Science
525,Advances in Radio Science,Engineering
538,Advances in Wound Care,Medicine
519,ADVANCES IN PHYSICS,Physics and Astronomy
515,Advances in Operator Theory,Mathematics
503,Advances in Mental Health,Psychology
504,Advances in Mental Health and Intellectual Disabilities,Medicine
510,Advances in Neurodevelopmental Disorders,Neuroscience
517,Advances in Orthopedics,Medicine
544,Aerosol Science and Engineering,Environmental Science
524,Advances in Pure and Applied Mathematics,Mathematics
520,Advances in Physics-X,Physics and Astronomy
506,Advances in Methods and Practices in Psychological Science,Psychology
518,Advances in Pharmacology and Pharmacy,Medicine
535,Advances in Virology,Medicine
516,Advances in Optics and Photonics,Engineering
527,Advances in Sample Preparation,Chemistry
514,Advances in Operations Research,Engineering
534,Advances in Tribology,Engineering
558,AFRICA,Social Sciences
549,Aerospace Science and Technology,Engineering
564,AFRICAN ARTS,Social Sciences
562,AFRICAN AMERICAN REVIEW,Social Sciences
569,African Health Sciences,Medicine
563,African and Asian Studies,Social Sciences
567,AFRICAN ENTOMOLOGY,Agricultural and Biological Sciences
574,AFRICAN JOURNAL OF AQUATIC SCIENCE,Agricultural and Biological Sciences
556,AFINIDAD,Environmental Science
566,AFRICAN ECONOMIC HISTORY,Social Sciences
559,Africa Education Review,Social Sciences
571,AFRICAN INVERTEBRATES,Agricultural and Biological Sciences
576,African Journal of Disability,Social Sciences
552,Aestimum,Environmental Science
568,African Geographical Review,Social Sciences
570,African Historical Review,Social Sciences
561,Africa Review,Social Sciences
557,Afkar-Jurnal Akidah & Pemikiran Islam-Journal of Aqidah & Islamic Thought,Social Sciences
560,Africa Journal of Management,Social Sciences
548,Aerospace Research in Bulgaria,Physics and Astronomy
572,African Journal of Accounting Auditing and Finance,"Business, Management and Accounting"
565,African Diaspora,Social Sciences
575,African Journal of Business Ethics,Decision Sciences
573,African Journal of Agricultural and Resource Economics-AFJARE,Agricultural and Biological Sciences
555,Afghanistan,Social Sciences
554,AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,Social Sciences
603,African Studies Review,Social Sciences
577,AFRICAN JOURNAL OF ECOLOGY,Environmental Science
602,AFRICAN STUDIES,Social Sciences
600,African Security Review,Social Sciences
589,African Journal of Primary Health Care & Family Medicine,Medicine
595,African Journal of Urology,Medicine
605,AFRICAN ZOOLOGY,Environmental Science
591,African Journal of Reproductive Health,Medicine
594,African Journal of Science Technology Innovation & Development,"Business, Management and Accounting"
590,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,Environmental Science
587,AFRICAN JOURNAL OF MARINE SCIENCE,Environmental Science
579,African Journal of Emergency Medicine,Medicine
583,African Journal of International and Comparative Law,Social Sciences
580,African Journal of Health Professions Education,Medicine
592,African Journal of Research in Mathematics Science and Technology Education,Social Sciences
578,African Journal of Economic and Management Studies,Computer Science
588,African Journal of Nursing and Midwifery,Medicine
593,African Journal of Rhetoric,Health Professions
584,African Journal of Laboratory Medicine,Medicine
581,AFRICAN JOURNAL OF HERPETOLOGY,Environmental Science
598,African Journalism Studies,Social Sciences
586,African Journal of Library Archives and Information Science,Social Sciences
597,African Journal on Conflict Resolution,Social Sciences
585,African Journal of Legal Studies,Social Sciences
601,African Sociological Review,Social Sciences
599,African Review of Economics and Finance-AREF,Social Sciences
604,African Vision and Eye Health Journal,Medicine
582,African Journal of Information Systems,"Business, Management and Accounting"
610,AGE AND AGEING,Medicine
638,AGRICULTURAL AND FOREST METEOROLOGY,Environmental Science
620,AGING CELL,"Biochemistry, Genetics and Molecular Biology"
641,AGRICULTURAL ECONOMICS,Agricultural and Biological Sciences
613,AGEING RESEARCH REVIEWS,Medicine
644,AGRICULTURAL HISTORY,Environmental Science
636,AGRICULTURAL AND FOOD SCIENCE,Agricultural and Biological Sciences
612,Ageing International,Social Sciences
614,Agenda-Empowering Women for Gender Equity,Social Sciences
619,Aging and Disease,Neuroscience
607,Afrika Matematika,Decision Sciences
639,Agricultural and Resource Economics Review,"Economics, Econometrics and Finance"
616,Aggregate,Materials Science
628,Agrarforschung Schweiz,Agricultural and Biological Sciences
643,Agricultural Finance Review,Agricultural and Biological Sciences
631,Agri-The Journal of the Turkish Society of Algology,Medicine
640,Agricultural and Resource Economics-International Scientific E-Journal,"Economics, Econometrics and Finance"
627,Agora-Papeles de Filosofia,Social Sciences
645,AGRICULTURAL HISTORY REVIEW,"Economics, Econometrics and Finance"
629,Agrarian South-Journal of Political Economy,Agricultural and Biological Sciences
633,Agricultura Sociedad y Desarrollo,Agricultural and Biological Sciences
623,Aging Medicine and Healthcare,Medicine
611,Age of Human Rights Journal,Social Sciences
608,Afriques-Debats Methodes et Terrains d Histoire,Social Sciences
625,Agora para la Educacion Fisica y el Deporte,Social Sciences
606,Africana Linguistica,Arts and Humanities
651,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Agricultural and Biological Sciences
649,Agricultural Water Management,Agricultural and Biological Sciences
680,AIDS RESEARCH AND HUMAN RETROVIRUSES,Immunology and Microbiology
678,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,Medicine
648,AGRICULTURAL SYSTEMS,Agricultural and Biological Sciences
662,AGRONOMIA MESOAMERICANA,Agricultural and Biological Sciences
663,Agronomy for Sustainable Development,Agricultural and Biological Sciences
669,AI COMMUNICATIONS,Computer Science
666,Agrosystems Geosciences & Environment,Agricultural and Biological Sciences
646,AGRICULTURAL RESEARCH,Agricultural and Biological Sciences
675,AIBR-Revista de Antropologia Iberoamericana,Social Sciences
690,AIMS Materials Science,Engineering
655,Agrivita,Agricultural and Biological Sciences
654,Agritech,Agricultural and Biological Sciences
656,AGROCHIMICA,Agricultural and Biological Sciences
668,Agua y Territorio,Environmental Science
688,AIMS Environmental Science,Environmental Science
667,AGU Advances,Environmental Science
658,Agrociencia Uruguay,Environmental Science
657,AGROCIENCIA,Agricultural and Biological Sciences
682,AIDS Research and Treatment,Medicine
689,AIMS Geosciences,Engineering
661,AgroLife Scientific Journal,Agricultural and Biological Sciences
687,AIMS Biophysics,"Biochemistry, Genetics and Molecular Biology"
692,AIMS Medical Science,Medicine
647,Agricultural Science and Practice,Agricultural and Biological Sciences
686,AIMS Bioengineering,Engineering
684,AILA Review,Arts and Humanities
685,AIMS Allergy and Immunology,Medicine
672,AI Open,Computer Science
653,Agrisost,"Economics, Econometrics and Finance"
696,AIP Advances,Physics and Astronomy
713,AKTUELLE UROLOGIE,Medicine
711,AKTUELLE ERNAHRUNGSMEDIZIN,Health Professions
712,AKTUELLE RHEUMATOLOGIE,Medicine
694,Ain Shams Engineering Journal,Engineering
710,AKTUELLE DERMATOLOGIE,Medicine
705,AJS Review-The Journal of the Association for Jewish Studies,Social Sciences
722,ALBERTA LAW REVIEW,Social Sciences
697,Air & Space Law,Social Sciences
699,AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,Environmental Science
703,AJIL Unbound,Social Sciences
702,AJAR-African Journal of AIDS Research,Medicine
718,Al-Masaq-Journal of the Medieval Mediterranean,Arts and Humanities
695,Ain Shams Journal of Anesthesiology,Medicine
719,AL-QANTARA,Arts and Humanities
704,AJP Reports,Medicine
708,AKCE International Journal of Graphs and Combinatorics,Computer Science
721,Alabe-Revista de Investigacion sobre Lectura y Escritura,Social Sciences
717,Al-Jamiah-Journal of Islamic Studies,Social Sciences
701,Ajalooline Ajakiri-The Estonian Historical Journal,Social Sciences
707,AKADEMIKA,Social Sciences
706,AJSP-Reviews and Reports,Medicine
714,Akustika,Health Professions
693,AIMS Molecular Science,Medicine
716,Al-Bayan-Journal of Quran and Hadith Studies,Social Sciences
