Journal name,Year,JIF,Rank," 9,483.00 ",,,,,,
ANNALS OF INTERNAL MEDICINE,2022,39.2,47, 0.50 ,,,,,,
JAMA Internal Medicine,2022,39,48, 0.51 ,,,,,,
INTENSIVE CARE MEDICINE,2022,38.9,49, 0.52 ,,,,,,
Nature Reviews Physics,2022,38.5,50, 0.53 ,,,,,,
Nature Nanotechnology,2022,38.3,51, 0.54 ,,,,,,
Lancet Microbe,2022,38.2,52, 0.55 ,,,,,,
Nature Reviews Neurology,2022,38.1,53, 0.56 ,,,,,,
CIRCULATION,2022,37.8,54, 0.57 ,,,,,,
Nature Catalysis,2022,37.8,55, 0.58 ,,,,,,
PROGRESS IN MATERIALS SCIENCE,2022,37.4,56, 0.59 ,,,,,,
Molecular Cancer,2022,37.3,57, 0.60 ,,,,,,
CLINICAL MICROBIOLOGY REVIEWS,2022,36.8,58, 0.61 ,,,,,,
Lancet Child & Adolescent Health,2022,36.4,59, 0.62 ,,,,,,
Nature Reviews Chemistry,2022,36.3,60, 0.63 ,,,,,,
Annual Review of Pathology-Mechanisms of Disease,2022,36.2,61, 0.64 ,,,,,,
Lancet Gastroenterology & Hepatology,2022,35.7,62, 0.65 ,,,,,,
IEEE Communications Surveys and Tutorials,2022,35.6,63, 0.66 ,,,,,,
Nature Photonics,2022,35,64, 0.67 ,,,,,,
NATURE REVIEWS NEUROSCIENCE,2022,34.7,65, 0.69 ,,,,,,
Lancet Global Health,2022,34.3,66, 0.70 ,,,,,,
Nature Electronics,2022,34.3,67, 0.71 ,,,,,,
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,2022,33.9,68, 0.72 ,,,,,,
MMWR Recommendations and Reports,2022,33.7,69, 0.73 ,,,,,,
Nature Reviews Rheumatology,2022,33.7,70, 0.74 ,,,,,,
PHYSIOLOGICAL REVIEWS,2022,33.6,71, 0.75 ,,,,,,
Cell Discovery,2022,33.5,72, 0.76 ,,,,,,
Annual Review of Astronomy and Astrophysics,2022,33.3,73, 0.77 ,,,,,,
Energy & Environmental Science,2022,32.5,74, 0.78 ,,,,,,
Immunity,2022,32.4,75, 0.79 ,,,,,,
Electrochemical Energy Reviews,2022,31.3,76, 0.80 ,,,,,,
MATERIALS SCIENCE & ENGINEERING R-REPORTS,2022,31,77, 0.81 ,,,,,,
Lancet Digital Health,2022,30.8,78, 0.82 ,,,,,,
NATURE GENETICS,2022,30.8,79, 0.83 ,,,,,,
Nature Climate Change,2022,30.7,80, 0.84 ,,,,,,
NATURE IMMUNOLOGY,2022,30.5,81, 0.85 ,,,,,,
Cell Host & Microbe,2022,30.3,82, 0.86 ,,,,,,
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,2022,30,83, 0.88 ,,,,,,
Nature Human Behaviour,2022,29.9,84, 0.89 ,,,,,,
Annual Review of Immunology,2022,29.7,85, 0.90 ,,,,,,
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,2022,29.5,86, 0.91 ,,,,,,
ADVANCED MATERIALS,2022,29.4,87, 0.92 ,,,,,,
Gastroenterology,2022,29.4,88, 0.93 ,,,,,,
BEHAVIORAL AND BRAIN SCIENCES,2022,29.3,89, 0.94 ,,,,,,
Cell Metabolism,2022,29,90, 0.95 ,,,,,,
JAMA Neurology,2022,29,91, 0.96 ,,,,,,
Journal of Hematology & Oncology,2022,28.5,92, 0.97 ,,,,,,
JAMA Oncology,2022,28.4,93, 0.98 ,,,,,,
Nature Microbiology,2022,28.3,94, 0.99 ,,,,,,
Cancer Discovery,2022,28.2,95, 1.00 ,,,,,,
JOURNAL OF INFECTION,2022,28.2,96, 1.01 ,,,,,,
Nature Biomedical Engineering,2022,28.1,97, 1.02 ,,,,,,
Advanced Energy Materials,2022,27.8,98, 1.03 ,,,,,,
Annual Review of Fluid Mechanics,2022,27.7,99, 1.04 ,,,,,,
Nature Sustainability,2022,27.6,100, 1.05 ,,,,,,
Molecular Plant,2022,27.5,101, 1.07 ,,,,,,
ANNALS OF THE RHEUMATIC DISEASES,2022,27.4,102, 1.08 ,,,,,,
Advances in Optics and Photonics,2022,27.1,103, 1.09 ,,,,,,
PROGRESS IN POLYMER SCIENCE,2022,27.1,104, 1.10 ,,,,,,
Nano-Micro Letters,2022,26.6,105, 1.11 ,,,,,,
JAMA Pediatrics,2022,26.1,106, 1.12 ,,,,,,
ASTRONOMY AND ASTROPHYSICS REVIEW,2022,25.8,107, 1.13 ,,,,,,
JAMA Psychiatry,2022,25.8,108, 1.14 ,,,,,,
JOURNAL OF HEPATOLOGY,2022,25.7,109, 1.15 ,,,,,,
JOURNAL OF TRAVEL MEDICINE,2022,25.7,110, 1.16 ,,,,,,
Lancet Planetary Health,2022,25.7,111, 1.17 ,,,,,,
Lancet Rheumatology,2022,25.4,112, 1.18 ,,,,,,
REVIEWS OF GEOPHYSICS,2022,25.2,113, 1.19 ,,,,,,
NATURE NEUROSCIENCE,2022,25,114, 1.20 ,,,,,,
Science Robotics,2022,25,115, 1.21 ,,,,,,
MMWR Surveillance Summaries,2022,24.9,116, 1.22 ,,,,,,
Annual Review of Psychology,2022,24.8,117, 1.23 ,,,,,,
Science Immunology,2022,24.8,118, 1.24 ,,,,,,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,2022,24.7,119, 1.25 ,,,,,,
Lancet Haematology,2022,24.7,120, 1.27 ,,,,,,
GUT,2022,24.5,121, 1.28 ,,,,,,
DRUG RESISTANCE UPDATES,2022,24.3,122, 1.29 ,,,,,,
EUROPEAN RESPIRATORY JOURNAL,2022,24.3,123, 1.30 ,,,,,,
Materials Today,2022,24.2,124, 1.31 ,,,,,,
Cellular & Molecular Immunology,2022,24.1,125, 1.32 ,,,,,,
JAMA Cardiology,2022,24,126, 1.33 ,,,,,,
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2022,24,127, 1.34 ,,,,,,
Annual Review of Plant Biology,2022,23.9,128, 1.35 ,,,,,,
Cell Stem Cell,2022,23.9,129, 1.36 ,,,,,,
Annual Review of Entomology,2022,23.8,130, 1.37 ,,,,,,
Nature Machine Intelligence,2022,23.8,131, 1.38 ,,,,,,
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2022,23.6,132, 1.39 ,,,,,,
Chem,2022,23.5,133, 1.40 ,,,,,,
EUROPEAN UROLOGY,2022,23.4,134, 1.41 ,,,,,,
Nature Food,2022,23.2,135, 1.42 ,,,,,,
PSYCHOTHERAPY AND PSYCHOSOMATICS,2022,22.8,136, 1.43 ,,,,,,
COMMUNICATIONS OF THE ACM,2022,22.7,137, 1.44 ,,,,,,
InfoMat,2022,22.7,138, 1.46 ,,,,,,
Nature Cancer,2022,22.7,139, 1.47 ,,,,,,
Annual Review of Condensed Matter Physics,2022,22.6,140, 1.48 ,,,,,,
PSYCHOLOGICAL BULLETIN,2022,22.4,141, 1.49 ,,,,,,
APPLIED CATALYSIS B-ENVIRONMENTAL,2022,22.1,142, 1.50 ,,,,,,
ACS Energy Letters,2022,22,143, 1.51 ,,,,,,
Nature Chemistry,2022,21.8,144, 1.52 ,,,,,,
NATURE CELL BIOLOGY,2022,21.3,145, 1.53 ,,,,,,
Military Medical Research,2022,21.1,146, 1.54 ,,,,,,
PHARMACOLOGICAL REVIEWS,2022,21.1,147, 1.55 ,,,,,,
Protein & Cell,2022,21.1,148, 1.56 ,,,,,,
Living Reviews in Solar Physics,2022,20.9,149, 1.57 ,,,,,,
Annual Review of Public Health,2022,20.8,150, 1.58 ,,,,,,
Nature Metabolism,2022,20.8,151, 1.59 ,,,,,,
COORDINATION CHEMISTRY REVIEWS,2022,20.6,152, 1.60 ,,,,,,
National Science Review,2022,20.6,153, 1.61 ,,,,,,
PROCEEDINGS OF THE IEEE,2022,20.6,154, 1.62 ,,,,,,
Carbon Energy,2022,20.5,155, 1.63 ,,,,,,
TRENDS IN PLANT SCIENCE,2022,20.5,156, 1.65 ,,,,,,
Energy Storage Materials,2022,20.4,157, 1.66 ,,,,,,
Journal of Thoracic Oncology,2022,20.4,158, 1.67 ,,,,,,
BLOOD,2022,20.3,159, 1.68 ,,,,,,
ENDOCRINE REVIEWS,2022,20.3,160, 1.69 ,,,,,,
FUNGAL DIVERSITY,2022,20.3,161, 1.70 ,,,,,,
Advanced Composites and Hybrid Materials,2022,20.1,162, 1.71 ,,,,,,
CIRCULATION RESEARCH,2022,20.1,163, 1.72 ,,,,,,
TRENDS IN COGNITIVE SCIENCES,2022,19.9,164, 1.73 ,,,,,,
RADIOLOGY,2022,19.7,165, 1.74 ,,,,,,
KIDNEY INTERNATIONAL,2022,19.6,166, 1.75 ,,,,,,
Nature Physics,2022,19.6,167, 1.76 ,,,,,,
INTERNATIONAL JOURNAL OF COMPUTER VISION,2022,19.5,168, 1.77 ,,,,,,
Light-Science & Applications,2022,19.4,169, 1.78 ,,,,,,
ADVANCED FUNCTIONAL MATERIALS,2022,19,170, 1.79 ,,,,,,
Eurosurveillance,2022,19,171, 1.80 ,,,,,,
TRENDS IN CELL BIOLOGY,2022,19,172, 1.81 ,,,,,,
Bioactive Materials,2022,18.9,173, 1.82 ,,,,,,
Matter,2022,18.9,174, 1.83 ,,,,,,
Science Bulletin,2022,18.9,175, 1.85 ,,,,,,
Information Fusion,2022,18.6,176, 1.86 ,,,,,,
PERIODONTOLOGY 2000,2022,18.6,177, 1.87 ,,,,,,
Annual Review of Clinical Psychology,2022,18.4,178, 1.88 ,,,,,,
BRITISH JOURNAL OF SPORTS MEDICINE,2022,18.4,179, 1.89 ,,,,,,
Trends in Cancer,2022,18.4,180, 1.90 ,,,,,,
ACCOUNTS OF CHEMICAL RESEARCH,2022,18.3,181, 1.91 ,,,,,,
Nature Geoscience,2022,18.3,182, 1.92 ,,,,,,
ACS Central Science,2022,18.2,183, 1.93 ,,,,,,
Annual Review of Physiology,2022,18.2,184, 1.94 ,,,,,,
EUROPEAN JOURNAL OF HEART FAILURE,2022,18.2,185, 1.95 ,,,,,,
REPORTS ON PROGRESS IN PHYSICS,2022,18.1,186, 1.96 ,,,,,,
Nature Plants,2022,18,187, 1.97 ,,,,,,
PROGRESS IN RETINAL AND EYE RESEARCH,2022,17.8,188, 1.98 ,,,,,,
AMERICAN JOURNAL OF PSYCHIATRY,2022,17.7,189, 1.99 ,,,,,,
IEEE Reviews in Biomedical Engineering,2022,17.6,190, 2.00 ,,,,,,
Journal of Magnesium and Alloys,2022,17.6,191, 2.01 ,,,,,,
Nano Energy,2022,17.6,192, 2.02 ,,,,,,
Nano Today,2022,17.4,193, 2.04 ,,,,,,
Advanced Photonics,2022,17.3,194, 2.05 ,,,,,,
Annual Review of Marine Science,2022,17.3,195, 2.06 ,,,,,,
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,2022,17.3,196, 2.07 ,,,,,,
TRENDS IN BIOTECHNOLOGY,2022,17.3,197, 2.08 ,,,,,,
ACS Nano,2022,17.1,198, 2.09 ,,,,,,
Science Translational Medicine,2022,17.1,199, 2.10 ,,,,,,
JAMA Surgery,2022,16.9,200, 2.11 ,,,,,,
Journal of Advanced Ceramics,2022,16.9,201, 2.12 ,,,,,,
Nature Ecology & Evolution,2022,16.8,202, 2.13 ,,,,,,
NATURE STRUCTURAL & MOLECULAR BIOLOGY,2022,16.8,203, 2.14 ,,,,,,
TRENDS IN ECOLOGY & EVOLUTION,2022,16.8,204, 2.15 ,,,,,,
TRENDS IN IMMUNOLOGY,2022,16.8,205, 2.16 ,,,,,,
ACM COMPUTING SURVEYS,2022,16.6,206, 2.17 ,,,,,,
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2022,16.6,207, 2.18 ,,,,,,
Annual Review of Biochemistry,2022,16.6,208, 2.19 ,,,,,,
Nature Communications,2022,16.6,209, 2.20 ,,,,,,
Chinese Journal of Catalysis,2022,16.5,210, 2.21 ,,,,,,
PhotoniX,2022,16.5,211, 2.23 ,,,,,,
STUDIES IN MYCOLOGY,2022,16.5,212, 2.24 ,,,,,,
Annual Review of Environment and Resources,2022,16.4,213, 2.25 ,,,,,,
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,2022,16.4,214, 2.26 ,,,,,,
Cancer Communications,2022,16.2,215, 2.27 ,,,,,,
DIABETES CARE,2022,16.2,216, 2.28 ,,,,,,
Neuron,2022,16.2,217, 2.29 ,,,,,,
One Earth,2022,16.2,218, 2.30 ,,,,,,
ADVANCED DRUG DELIVERY REVIEWS,2022,16.1,219, 2.31 ,,,,,,
Advanced Fiber Materials,2022,16.1,220, 2.32 ,,,,,,
INTERNATIONAL MATERIALS REVIEWS,2022,16.1,221, 2.33 ,,,,,,
Lancet HIV,2022,16.1,222, 2.34 ,,,,,,
BIOTECHNOLOGY ADVANCES,2022,16,223, 2.35 ,,,,,,
Journal of Extracellular Vesicles,2022,16,224, 2.36 ,,,,,,
Molecular Cell,2022,16,225, 2.37 ,,,,,,
JOURNAL OF CLINICAL INVESTIGATION,2022,15.9,226, 2.38 ,,,,,,
NEURO-ONCOLOGY,2022,15.9,227, 2.39 ,,,,,,
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,2022,15.9,228, 2.40 ,,,,,,
Small Structures,2022,15.9,229, 2.41 ,,,,,,
TRENDS IN MICROBIOLOGY,2022,15.9,230, 2.43 ,,,,,,
TRENDS IN NEUROSCIENCES,2022,15.9,231, 2.44 ,,,,,,
PLOS MEDICINE,2022,15.8,232, 2.45 ,,,,,,
Environmental Chemistry Letters,2022,15.7,233, 2.46 ,,,,,,
Journal of Industrial Information Integration,2022,15.7,234, 2.47 ,,,,,,
Trends in Chemistry,2022,15.7,235, 2.48 ,,,,,,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,2022,15.6,236, 2.49 ,,,,,,
Microbiome,2022,15.5,237, 2.50 ,,,,,,
International Journal of Surgery,2022,15.3,238, 2.51 ,,,,,,
JOURNAL OF EXPERIMENTAL MEDICINE,2022,15.3,239, 2.52 ,,,,,,
Nature Reviews Urology,2022,15.3,240, 2.53 ,,,,,,
TRENDS IN FOOD SCIENCE & TECHNOLOGY,2022,15.3,241, 2.54 ,,,,,,
npj Digital Medicine,2022,15.2,242, 2.55 ,,,,,,
Advanced Science,2022,15.1,243, 2.56 ,,,,,,
BRAIN BEHAVIOR AND IMMUNITY,2022,15.1,244, 2.57 ,,,,,,
Chemical Engineering Journal,2022,15.1,245, 2.58 ,,,,,,
CRITICAL CARE,2022,15.1,246, 2.59 ,,,,,,
EClinicalMedicine,2022,15.1,247, 2.60 ,,,,,,
Molecular Neurodegeneration,2022,15.1,248, 2.62 ,,,,,,
Applied Physics Reviews,2022,15,249, 2.63 ,,,,,,
Energy & Environmental Materials,2022,15,250, 2.64 ,,,,,,
Journal of the American Chemical Society,2022,15,251, 2.65 ,,,,,,
Annual Review of Earth and Planetary Sciences,2022,14.9,252, 2.66 ,,,,,,
IEEE SIGNAL PROCESSING MAGAZINE,2022,14.9,253, 2.67 ,,,,,,
International Journal of Oral Science,2022,14.9,254, 2.68 ,,,,,,
NUCLEIC ACIDS RESEARCH,2022,14.9,255, 2.69 ,,,,,,
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,2022,14.8,256, 2.70 ,,,,,,
Nature Chemical Biology,2022,14.8,257, 2.71 ,,,,,,
Nature Protocols,2022,14.8,258, 2.72 ,,,,,,
Annual Review of Physical Chemistry,2022,14.7,259, 2.73 ,,,,,,
International Journal of Extreme Manufacturing,2022,14.7,260, 2.74 ,,,,,,
CANADIAN MEDICAL ASSOCIATION JOURNAL,2022,14.6,261, 2.75 ,,,,,,
EcoMat,2022,14.6,262, 2.76 ,,,,,,
IEEE Geoscience and Remote Sensing Magazine,2022,14.6,263, 2.77 ,,,,,,
Mycosphere,2022,14.6,264, 2.78 ,,,,,,
npj Flexible Electronics,2022,14.6,265, 2.79 ,,,,,,
Acta Pharmaceutica Sinica B,2022,14.5,266, 2.81 ,,,,,,
BRAIN,2022,14.5,267, 2.82 ,,,,,,
SEMINARS IN CANCER BIOLOGY,2022,14.5,268, 2.83 ,,,,,,
ARTIFICIAL INTELLIGENCE,2022,14.4,269, 2.84 ,,,,,,
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,2022,14.4,270, 2.85 ,,,,,,
Applied Mechanics Reviews,2022,14.3,271, 2.86 ,,,,,,
Cell Reports Medicine,2022,14.3,272, 2.87 ,,,,,,
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,2022,14.3,273, 2.88 ,,,,,,
ACTA NUMERICA,2022,14.2,274, 2.89 ,,,,,,
CLINICAL MICROBIOLOGY AND INFECTION,2022,14.2,275, 2.90 ,,,,,,
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,2022,14.2,276, 2.91 ,,,,,,
Nature Astronomy,2022,14.1,277, 2.92 ,,,,,,
Opto-Electronic Advances,2022,14.1,278, 2.93 ,,,,,,
Alzheimers & Dementia,2022,14,279, 2.94 ,,,,,,
BIOMATERIALS,2022,14,280, 2.95 ,,,,,,
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,2022,14,281, 2.96 ,,,,,,
JACC-Cardiovascular Imaging,2022,14,282, 2.97 ,,,,,,
Annual Review of Neuroscience,2022,13.9,283, 2.98 ,,,,,,
JAMA Network Open,2022,13.8,284, 2.99 ,,,,,,
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,2022,13.8,285, 3.01 ,,,,,,
Liver Cancer,2022,13.8,286, 3.02 ,,,,,,
PLANT BIOTECHNOLOGY JOURNAL,2022,13.8,287, 3.03 ,,,,,,
TRENDS IN BIOCHEMICAL SCIENCES,2022,13.8,288, 3.04 ,,,,,,
TRENDS IN PHARMACOLOGICAL SCIENCES,2022,13.8,289, 3.05 ,,,,,,
OPHTHALMOLOGY,2022,13.7,290, 3.06 ,,,,,,
Advances in Methods and Practices in Psychological Science,2022,13.6,291, 3.07 ,,,,,,
AUTOIMMUNITY REVIEWS,2022,13.6,292, 3.08 ,,,,,,
EUROPEAN JOURNAL OF EPIDEMIOLOGY,2022,13.6,293, 3.09 ,,,,,,
JOURNAL OF HAZARDOUS MATERIALS,2022,13.6,294, 3.10 ,,,,,,
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,2022,13.6,295, 3.11 ,,,,,,
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,2022,13.6,296, 3.12 ,,,,,,
PROGRESS IN LIPID RESEARCH,2022,13.6,297, 3.13 ,,,,,,
Science Advances,2022,13.6,298, 3.14 ,,,,,,
TRENDS IN MOLECULAR MEDICINE,2022,13.6,299, 3.15 ,,,,,,
HEPATOLOGY,2022,13.5,300, 3.16 ,,,,,,
PHARMACOLOGY & THERAPEUTICS,2022,13.5,301, 3.17 ,,,,,,
REMOTE SENSING OF ENVIRONMENT,2022,13.5,302, 3.18 ,,,,,,
AMERICAN JOURNAL OF BIOETHICS,2022,13.4,303, 3.20 ,,,,,,
Annual Review of Control Robotics and Autonomous Systems,2022,13.4,304, 3.21 ,,,,,,
Journal of the National Comprehensive Cancer Network,2022,13.4,305, 3.22 ,,,,,,
Arthritis & Rheumatology,2022,13.3,306, 3.23 ,,,,,,
Autophagy,2022,13.3,307, 3.24 ,,,,,,
Green Energy & Environment,2022,13.3,308, 3.25 ,,,,,,
HUMAN REPRODUCTION UPDATE,2022,13.3,309, 3.26 ,,,,,,
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2022,13.3,310, 3.27 ,,,,,,
Materials Horizons,2022,13.3,311, 3.28 ,,,,,,
MEDICINAL RESEARCH REVIEWS,2022,13.3,312, 3.29 ,,,,,,
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,2022,13.3,313, 3.30 ,,,,,,
Small,2022,13.3,314, 3.31 ,,,,,,
AMERICAN JOURNAL OF KIDNEY DISEASES,2022,13.2,315, 3.32 ,,,,,,
Emerging Microbes & Infections,2022,13.2,316, 3.33 ,,,,,,
RESOURCES CONSERVATION AND RECYCLING,2022,13.2,317, 3.34 ,,,,,,
AGEING RESEARCH REVIEWS,2022,13.1,318, 3.35 ,,,,,,
COMPOSITES PART B-ENGINEERING,2022,13.1,319, 3.36 ,,,,,,
Journal of Energy Chemistry,2022,13.1,320, 3.37 ,,,,,,
Polymer Reviews,2022,13.1,321, 3.39 ,,,,,,
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,2022,13.1,322, 3.40 ,,,,,,
CYTOKINE & GROWTH FACTOR REVIEWS,2022,13,323, 3.41 ,,,,,,
JACC-Heart Failure,2022,13,324, 3.42 ,,,,,,
ACS Catalysis,2022,12.9,325, 3.43 ,,,,,,
Computer Science Review,2022,12.9,326, 3.44 ,,,,,,
IEEE WIRELESS COMMUNICATIONS,2022,12.9,327, 3.45 ,,,,,,
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,2022,12.9,328, 3.46 ,,,,,,
AMERICAN JOURNAL OF HEMATOLOGY,2022,12.8,329, 3.47 ,,,,,,
Blood Cancer Journal,2022,12.8,330, 3.48 ,,,,,,
Engineering,2022,12.8,331, 3.49 ,,,,,,
EXPERIMENTAL AND MOLECULAR MEDICINE,2022,12.8,332, 3.50 ,,,,,,
JOURNAL OF AUTOIMMUNITY,2022,12.8,333, 3.51 ,,,,,,
WATER RESEARCH,2022,12.8,334, 3.52 ,,,,,,
ACTA NEUROPATHOLOGICA,2022,12.7,335, 3.53 ,,,,,,
AMERICAN JOURNAL OF PUBLIC HEALTH,2022,12.7,336, 3.54 ,,,,,,
Biochar,2022,12.7,337, 3.55 ,,,,,,
Bone Research,2022,12.7,338, 3.56 ,,,,,,
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2022,12.7,339, 3.57 ,,,,,,
JOURNAL OF MEDICAL VIROLOGY,2022,12.7,340, 3.59 ,,,,,,
BIOSENSORS & BIOELECTRONICS,2022,12.6,341, 3.60 ,,,,,,
Clinical Gastroenterology and Hepatology,2022,12.6,342, 3.61 ,,,,,,
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,2022,12.6,343, 3.62 ,,,,,,
Environmental Science and Ecotechnology,2022,12.6,344, 3.63 ,,,,,,
Translational Neurodegeneration,2022,12.6,345, 3.64 ,,,,,,
Annual Review of Pharmacology and Toxicology,2022,12.5,346, 3.65 ,,,,,,
Physical Review X,2022,12.5,347, 3.66 ,,,,,,
TECHNOVATION,2022,12.5,348, 3.67 ,,,,,,
ALLERGY,2022,12.4,349, 3.68 ,,,,,,
Annual Review of Biophysics,2022,12.4,350, 3.69 ,,,,,,
Annual Review of Food Science and Technology,2022,12.4,351, 3.70 ,,,,,,
Annual Review of Nuclear and Particle Science,2022,12.4,352, 3.71 ,,,,,,
CELL DEATH AND DIFFERENTIATION,2022,12.4,353, 3.72 ,,,,,,
MOLECULAR THERAPY,2022,12.4,354, 3.73 ,,,,,,
Small Methods,2022,12.4,355, 3.74 ,,,,,,
Theranostics,2022,12.4,356, 3.75 ,,,,,,
CLINICAL AND EXPERIMENTAL HYPERTENSION,2022,12.3,357, 3.76 ,,,,,,
GENOME BIOLOGY,2022,12.3,358, 3.78 ,,,,,,
Genome Medicine,2022,12.3,359, 3.79 ,,,,,,
IEEE Transactions on Industrial Informatics,2022,12.3,360, 3.80 ,,,,,,
Gut Microbes,2022,12.2,361, 3.81 ,,,,,,
EARTH-SCIENCE REVIEWS,2022,12.1,362, 3.82 ,,,,,,
JOURNAL OF MANUFACTURING SYSTEMS,2022,12.1,363, 3.83 ,,,,,,
Journal of Physiotherapy,2022,12.1,364, 3.84 ,,,,,,
Sustainable Production and Consumption,2022,12.1,365, 3.85 ,,,,,,
Annual Review of Animal Biosciences,2022,12,366, 3.86 ,,,,,,
ARTIFICIAL INTELLIGENCE REVIEW,2022,12,367, 3.87 ,,,,,,
COMPUTERS & EDUCATION,2022,12,368, 3.88 ,,,,,,
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,2022,12,369, 3.89 ,,,,,,
PROGRESS IN SOLID STATE CHEMISTRY,2022,12,370, 3.90 ,,,,,,
Travel Medicine and Infectious Disease,2022,12,371, 3.91 ,,,,,,
